text,true_label,pred_label,rumor_probability,explanation
"So, to sum up: 1) Darren Wilson KNEW NOTHING of the robbery, 2) shot #MikeBrown over jaywalking, and 3) was allowed to escape #Ferguson.",1,1,0.9737710356712341,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
"BREAKING: #Ferguson police chief just announced that officer Darren Wilson shot the unarmed teen, Michael Brown.",1,1,0.9495639204978943,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文使用了带有强烈突发暗示的词汇（如'BREAKING'），且缺乏正规媒体的证实，具备社交媒体谣言特征。
so ... they clearly released that video  only to shame &amp; blame the victim. #Ferguson #MikeBrown,1,1,0.6329854130744934,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
BREAKING: #Anonymous has obtained audio files of police dispatch and EMS during the #MikeBrown shooting. Will release ASAP. #Ferguson,1,0,0.285006582736969,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
#Ferguson police are embarking on what can only be described as an elaborate smear campaign of Michael Brown http://t.co/SaLZExqR1D,1,0,0.1473044902086258,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Someone with better eyes than me please #checkthedatestamp on the bottom left photo. Isn't that JUNE? #Ferguson http://t.co/PTNuxY2v5B,1,0,0.015904773026704788,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"What are #Ferguson Police hiding about ""drive by"" shooting of black woman recording last night's action? http://t.co/wfuDYm9q27 #OpFerguson",1,0,0.3040621280670166,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionate community,1,0,0.01246741134673357,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Here's the police report. Somehow #Ferguson cops valued a box of Swishers at nearly $50. Time to stop smokin I guess http://t.co/8ZkvrHkApc,1,1,0.7294474840164185,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
I'm so disgusted. #Ferguson RT @ZandarVTS: This has now devolved into the worst police shooting cover-up attempt in US history.,1,0,0.22954219579696655,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
